Date,Equity
2023-07-26,265174.3819631873
2023-07-27,263429.30605254223
2023-07-28,266987.67381140374
2023-07-31,267832.96098626306
2023-08-01,266687.73725348193
2023-08-02,262556.7366902503
2023-08-03,260634.42078220152
2023-08-04,248118.70159400886
2023-08-07,243837.72228282652
2023-08-08,245132.92476355835
2023-08-09,242937.9335470408
2023-08-10,242637.95511315978
2023-08-11,242719.88542737608
2023-08-14,244999.78015121457
2023-08-15,242255.73229536836
2023-08-16,241054.35290127163
2023-08-17,237545.75471994453
2023-08-18,238214.72316850306
2023-08-21,240057.74694776649
2023-08-22,241955.3769778544
2023-08-23,247266.023312347
2023-08-24,240794.97320985558
2023-08-25,243839.35544523617
2023-08-28,245996.3861047197
2023-08-29,251361.61775205715
2023-08-30,256180.82876710946
2023-08-31,256481.1422086642
